x y theta v w
0.499225 -3.96872 6.40832 0.499887 0.124973
0.548783 -3.96218 6.42082 0.499875 0.12497
0.598255 -3.95501 6.43331 0.499863 0.124967
0.647632 -3.94722 6.44581 0.499852 0.124964
0.696906 -3.93882 6.45831 0.49984 0.124961
0.746071 -3.92981 6.4708 0.499829 0.124958
0.795118 -3.92018 6.4833 0.499818 0.124955
0.844039 -3.90994 6.49579 0.499807 0.124952
0.892828 -3.89908 6.50829 0.499796 0.12495
0.941477 -3.88762 6.52079 0.499786 0.124947
0.989977 -3.87556 6.53328 0.499776 0.124944
1.03832 -3.86288 6.54577 0.499766 0.124942
1.0865 -3.84961 6.55827 0.499756 0.124939
1.13452 -3.83574 6.57076 0.499747 0.124937
1.18235 -3.82126 6.58326 0.499737 0.124935
1.23 -3.80619 6.59575 0.499728 0.124932
1.27745 -3.79053 6.60824 0.499719 0.12493
1.32471 -3.77427 6.62074 0.499711 0.124928
1.37175 -3.75743 6.63323 0.499702 0.124926
1.41859 -3.74 6.64572 0.499694 0.124924
1.4652 -3.72199 6.65822 0.499686 0.124922
1.51158 -3.70339 6.67071 0.499679 0.12492
1.55772 -3.68422 6.6832 0.499671 0.124918
1.60362 -3.66447 6.69569 0.499664 0.124916
1.64927 -3.64416 6.70818 0.499657 0.124914
1.69466 -3.62327 6.72068 0.49965 0.124912
1.73979 -3.60182 6.73317 0.499643 0.12491
1.78465 -3.57981 6.74566 0.499637 0.124909
1.82922 -3.55724 6.75815 0.499631 0.124907
1.87351 -3.53411 6.77064 0.499625 0.124906
1.91751 -3.51043 6.78313 0.499619 0.124904
1.9612 -3.48621 6.79562 0.499614 0.124903
2.0046 -3.46144 6.80811 0.499608 0.124901
2.04767 -3.43613 6.8206 0.499603 0.1249
2.09043 -3.41029 6.83309 0.499598 0.124899
2.13286 -3.38391 6.84558 0.499594 0.124898
2.17496 -3.35701 6.85807 0.499589 0.124897
2.21672 -3.32958 6.87056 0.499585 0.124896
2.25813 -3.30164 6.88305 0.499581 0.124895
2.29919 -3.27318 6.89554 0.499578 0.124894
2.33989 -3.24421 6.90803 0.499574 0.124893
2.38023 -3.21473 6.92052 0.499571 0.124892
2.42019 -3.18475 6.93301 0.499568 0.124891
2.45978 -3.15428 6.9455 0.499565 0.12489
2.49898 -3.12331 6.95799 0.499562 0.12489
2.53779 -3.09186 6.97048 0.49956 0.124889
2.57621 -3.05992 6.98297 0.499558 0.124888
2.61422 -3.02751 6.99546 0.499556 0.124888
2.65183 -2.99463 7.00795 0.499554 0.124887
2.68902 -2.96127 7.02044 0.499552 0.124887
2.72579 -2.92746 7.03293 0.499551 0.124887
2.76214 -2.89319 7.04541 0.49955 0.124886
2.79806 -2.85847 7.0579 0.499549 0.124886
2.83354 -2.8233 7.07039 0.499549 0.124886
2.86858 -2.78769 7.08288 0.499548 0.124886
2.90317 -2.75165 7.09537 0.499548 0.124886
2.93731 -2.71518 7.10786 0.499548 0.124886
2.97099 -2.67829 7.12035 0.499548 0.124886
3.0042 -2.64097 7.13284 0.499549 0.124886
3.03695 -2.60325 7.14533 0.499549 0.124886
3.06923 -2.56512 7.15781 0.49955 0.124886
3.10102 -2.52659 7.1703 0.499552 0.124887
3.13233 -2.48766 7.18279 0.499553 0.124887
3.16316 -2.44835 7.19528 0.499555 0.124887
3.19349 -2.40865 7.20777 0.499556 0.124888
3.22332 -2.36858 7.22026 0.499558 0.124888
3.25265 -2.32814 7.23275 0.499561 0.124889
3.28147 -2.28734 7.24524 0.499563 0.12489
3.30978 -2.24618 7.25773 0.499566 0.12489
3.33758 -2.20467 7.27022 0.499569 0.124891
3.36485 -2.16281 7.28271 0.499572 0.124892
3.3916 -2.12062 7.2952 0.499575 0.124893
3.41782 -2.07809 7.30769 0.499579 0.124894
3.44351 -2.03524 7.32018 0.499583 0.124895
3.46866 -1.99208 7.33267 0.499587 0.124896
3.49327 -1.9486 7.34516 0.499591 0.124897
3.51734 -1.90482 7.35765 0.499596 0.124898
3.54086 -1.86074 7.37014 0.4996 0.124899
3.56382 -1.81636 7.38263 0.499605 0.1249
3.58623 -1.77171 7.39512 0.49961 0.124902
3.60808 -1.72678 7.40761 0.499616 0.124903
