generation,rmse,Q_0,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,R_odom_0,R_odom_1,R_odom_2,R_odom_3,R_imu_0,R_imu_1,R_imu_2,R_imu_3
6,0.3123,366.0101,267.4334,269.4017,248.9234,271.0021,171.5435,528.4188,354.7675,108.5775,280.924,96.9263,191.1514,318.8382,335.7335,334.9432,497.3066
6,0.2245,387.2629,182.7201,58.4538,563.5748,222.1414,380.4084,372.3755,499.6703,509.4171,258.9974,401.4999,199.9246,437.5045,382.9293,214.5678,31.2948
6,0.2282,324.0123,292.7035,202.5753,331.882,308.5119,151.2497,579.8402,151.5659,100.7387,129.3408,452.8966,183.6607,314.7435,414.0713,314.946,447.5204
6,0.323,366.2478,479.9304,170.9417,243.3951,265.6949,378.3102,188.3235,425.2532,109.5535,235.3944,90.601,78.4846,401.0154,306.2267,379.2447,450.3091
6,0.3011,425.497,452.494,269.4017,248.9234,296.8207,211.8757,491.1278,110.8739,82.6834,211.3157,96.9263,55.2673,322.8136,378.7116,277.1591,420.5801
6,0.2856,366.0101,138.8477,186.5515,273.8383,296.8207,211.8757,59.0844,446.8288,98.4709,118.2485,96.1737,55.2673,437.5045,378.7116,214.5678,497.3066
6,0.232,82.4636,144.5736,216.1553,140.8604,340.8185,445.0829,607.7058,334.2093,96.6229,209.6928,349.5866,336.2485,344.542,394.937,280.8723,29.7218
6,0.234,415.0442,519.5716,171.2226,292.8064,253.7979,285.1603,160.358,124.9393,87.5281,204.5476,303.4403,68.0732,290.8012,355.7017,258.8677,251.4208
6,0.2574,538.0663,429.496,246.0564,236.7156,320.78,221.7643,434.6528,168.4723,112.4075,282.5235,384.7709,140.2513,343.3449,341.7235,23.5841,32.827
6,0.2375,112.5123,452.494,269.4017,266.2752,80.5605,260.6092,491.1278,354.7675,99.0472,300.8888,356.8626,141.0426,318.8382,335.7335,334.9432,497.3066
6,0.2257,141.7641,170.1412,206.489,537.1606,310.8388,238.4047,498.9839,163.8185,98.4709,211.3157,356.8626,199.9246,288.5639,335.7335,214.5678,384.2768
6,0.3011,366.0101,452.494,269.4017,248.9234,296.8207,211.8757,491.1278,149.9641,98.4709,211.3157,96.9263,55.2673,322.8136,378.7116,277.1591,420.5801
6,0.234,141.7641,170.1412,300.015,234.2915,299.9697,211.8757,448.7054,149.9641,363.7026,211.3157,373.3514,72.5412,496.3166,329.9121,318.32,420.5801
6,0.2268,347.3049,148.1058,206.4733,259.8227,318.7387,253.3501,169.7255,144.3554,97.7259,190.6981,470.2546,55.5757,447.8687,327.1201,303.8805,426.4093
6,0.2352,387.2629,432.7218,186.5515,537.1606,87.2881,260.6092,431.4336,163.8185,99.0472,300.8888,377.9492,199.9246,288.5639,377.5286,334.0109,278.0303
6,0.3054,367.2203,478.2765,271.9811,245.2635,91.9005,429.9485,418.8141,365.6523,77.7028,322.7408,116.909,64.6952,339.8336,311.3217,359.0382,462.7099
