time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
0.85,1.7449217188704948e-11,-9.462187472717755e-20,0.0,0.0,0.0,-5.414190241008593e-10,1.0,-1.2147612939333978e-11,0.0,0.0,0.0,0.0,8.838663820899427e-12
0.86,1.735458526113231e-11,-9.451930162294566e-20,0.0,0.0,0.0,-5.42142114986481e-10,1.0,-9.413902148901989e-12,0.0,0.0,0.0,0.0,-1.4484720561783798e-10
0.87,1.7261735464847788e-11,-9.441867891152025e-20,0.0,0.0,0.0,-5.417654257213376e-10,1.0,-1.0387874097636632e-11,0.0,0.0,0.0,0.0,8.46022585023891e-11
0.88,1.7210579859040184e-11,-9.436322893959441e-20,0.0,0.0,0.0,-5.420457964678999e-10,1.0,-5.104735353017067e-12,0.0,0.0,0.0,0.0,-5.742816253136729e-11
0.89,1.746332396216049e-11,-9.463755798279919e-20,0.0,0.0,0.0,-5.429167391637034e-10,1.0,2.5204168091046855e-11,0.0,0.0,0.0,0.0,-1.7264348158204036e-10
0.9,1.746041387543666e-11,-9.463439720998861e-20,0.0,0.0,0.0,-5.431217731726005e-10,1.0,-2.958315292431692e-13,0.0,0.0,0.0,0.0,-4.1686403296582686e-11
0.91,1.7941892710986586e-11,-9.515761191535947e-20,0.0,0.0,0.0,-5.43407426067464e-10,1.0,4.9741783461007546e-11,0.0,0.0,0.0,0.0,-5.842932996616277e-11
0.92,1.8007001009291515e-11,-9.522837781776384e-20,0.0,0.0,0.0,-5.434712034126757e-10,1.0,4.925471650553594e-12,0.0,0.0,0.0,0.0,-1.0897899523150011e-11
0.93,1.7409250339532827e-11,-9.457847459297863e-20,0.0,0.0,0.0,-5.436729771379625e-10,1.0,-6.695960383449152e-11,0.0,0.0,0.0,0.0,-4.519052535451944e-11
0.9400000000000001,1.745670470572139e-11,-9.463001579134386e-20,0.0,0.0,0.0,-5.429329989540566e-10,1.0,5.2424408419352206e-12,0.0,0.0,0.0,0.0,1.486891466868648e-10
